userId,amount,timestamp
104,686.38,2026-06-15T05:41:56.258Z
104,205.36,2026-01-27T15:12:42.920Z
106,697.71,2026-07-17T11:56:21.530Z
105,736.73,2026-01-02T16:12:52.298Z
114,369.92,2026-02-26T07:51:02.634Z
110,53.22,2026-04-16T11:58:16.787Z
105,520.01,2026-04-25T20:22:01.110Z
118,250.70,2026-03-12T11:03:50.535Z
117,716.98,2026-06-05T04:00:49.974Z
108,14.47,2026-08-27T11:36:00.232Z
119,151.61,2026-07-03T20:45:14.263Z
116,851.18,2026-02-02T01:07:24.809Z
100,950.87,2026-05-17T16:52:09.940Z
113,956.14,2026-01-16T21:01:04.352Z
119,206.72,2026-04-13T06:50:38.643Z
108,776.69,2026-07-02T15:41:01.651Z
115,34.49,2026-08-14T14:29:42.731Z
118,282.90,2026-03-31T14:43:33.192Z
106,514.49,2026-03-14T00:15:28.663Z
109,651.94,2026-06-20T04:37:18.939Z
118,792.94,2026-08-13T10:52:00.457Z
116,197.78,2026-05-10T09:09:39.551Z
116,919.00,2026-05-22T07:48:41.190Z
110,792.56,2026-06-27T02:39:41.951Z
114,545.82,2026-04-03T04:05:26.717Z
100,310.56,2026-03-18T07:36:03.373Z
110,452.79,2026-03-31T16:01:20.397Z
103,569.59,2026-09-12T14:08:14.424Z
118,125.44,2026-02-22T12:56:16.133Z
112,19.93,2026-07-29T23:51:36.740Z
105,628.63,2026-09-12T11:08:57.375Z
107,755.29,2026-05-13T00:17:29.993Z
119,755.08,2026-09-11T13:08:42.364Z
108,261.84,2026-04-01T05:23:56.057Z
111,513.71,2026-08-25T09:37:17.701Z
117,295.32,2026-05-10T17:43:04.872Z
106,723.35,2026-02-21T17:18:20.219Z
114,340.70,2026-08-12T05:55:31.978Z
109,545.00,2026-06-10T08:38:58.540Z
119,390.85,2026-03-21T19:43:18.966Z
117,872.24,2026-08-24T10:02:52.935Z
101,705.06,2026-07-04T01:53:06.410Z
100,66.15,2026-05-11T06:44:48.746Z
116,190.24,2026-07-06T23:49:19.862Z
119,496.55,2026-06-22T09:32:00.175Z
105,166.86,2026-08-03T08:01:07.176Z
109,581.39,2026-01-16T13:43:18.677Z
111,79.65,2026-08-24T17:17:28.305Z
107,71.58,2026-09-01T18:34:13.317Z
111,965.71,2026-06-16T19:05:35.491Z
100,558.21,2026-06-16T18:38:15.995Z
107,113.97,2026-07-28T19:09:32.192Z
117,953.34,2026-03-12T14:58:07.518Z
115,518.09,2026-07-30T00:35:49.773Z
114,109.86,2026-05-22T16:06:18.139Z
117,917.25,2026-03-18T04:00:18.325Z
106,768.57,2026-01-29T13:07:08.632Z
100,888.63,2026-07-22T19:26:05.198Z
100,620.79,2026-06-27T02:51:08.226Z
108,999.85,2026-05-17T11:29:36.220Z
103,719.17,2026-05-21T13:20:19.201Z
107,401.23,2026-06-05T20:44:59.057Z
108,277.79,2026-03-14T02:34:56.636Z
106,233.42,2026-04-19T03:53:13.002Z
110,347.60,2026-02-18T13:40:27.070Z
103,140.55,2026-08-04T11:54:08.776Z
111,390.37,2026-04-27T23:57:20.444Z
113,632.13,2026-09-22T04:41:21.816Z
107,599.16,2026-07-31T17:12:43.189Z
105,779.00,2026-01-07T05:40:11.580Z
100,504.96,2026-01-16T01:56:21.820Z
112,968.63,2026-07-07T23:10:17.842Z
106,540.15,2026-01-10T05:23:44.264Z
108,602.51,2026-01-02T22:31:49.010Z
116,57.66,2026-07-06T21:22:46.513Z
119,488.83,2026-06-19T15:49:32.647Z
107,714.75,2026-01-10T23:43:39.736Z
106,809.46,2026-02-26T09:30:33.895Z
117,253.69,2026-06-15T22:27:43.767Z
103,18.34,2026-04-17T14:11:18.036Z
110,953.41,2026-04-08T02:57:52.423Z
107,159.85,2026-07-28T02:02:06.494Z
100,329.55,2026-08-04T10:34:21.547Z
102,252.84,2026-06-12T11:16:08.666Z
114,67.34,2026-07-24T09:52:29.099Z
100,186.11,2026-05-02T18:42:38.625Z
109,970.19,2026-07-07T09:38:03.588Z
103,498.77,2026-04-03T13:04:07.347Z
117,188.18,2026-08-28T22:36:07.260Z
107,830.63,2026-01-08T16:43:47.335Z
113,15.07,2026-06-04T22:20:52.118Z
114,163.62,2026-07-17T14:05:06.128Z
100,851.68,2026-03-08T19:13:59.565Z
113,377.54,2026-09-12T09:36:28.479Z
111,491.06,2026-04-11T16:52:45.911Z
106,40.93,2026-08-04T12:10:02.663Z
119,914.82,2026-03-04T08:27:54.622Z
110,158.81,2026-07-11T12:44:49.988Z
102,639.40,2026-05-13T06:38:03.808Z
110,805.62,2026-09-17T14:42:08.623Z
